nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,fundDd,prod1Nm,hmpgAddr,insuUseYn,impYn,koreaCuYn,extrnlCstYn,packAbrdEntprYn,korNm,compscale,nation_name,industry_code,hscode,usdSaleAmt,trgtpsnFaxNo,evalDd,evalGrd,evalValidDd
미국,13225,630533,43,6004141745,450,332260,The Last U S Bag Co,William P Macia,13225,직물포대 제조업,7,1-3609932247,/3000 Columbia House Blvd Ste 114/Vancouver/Washington/Clark/United States/98661-2969,20040630,Mfg textile bags,www.lastusbag.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,46,6003544513,450,230374,Wearmax Inc.,Ovais Sheikh,13225,직물포대 제조업,2,1-6313617222,/20398 Rupert Island Pl/Potomac Falls/Virginia/Loudoun/United States/20165-5112,19960630,Mfg textile bags,www.wearmaxamerica.net,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,50,6003856434,450,284935,"Wessco International Ltd., A California Limited Partnership",Robert Bregman,13225,직물포대 제조업,30,1-3104774272,/11400 W Olympic Blvd Ste 450/Los Angeles/California/Los Angeles/United States/90064-1585,19790630,Mfg textile bags,www.wessco.net,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,53,6004217225,450,345925,AMS Products LLC,Amy Kim,13225,직물포대 제조업,10,1-9734425790,/105 W Dewey Ave Ste 305/Wharton/New Jersey/Morris/United States/07885-1659,19880630,Mfg textile bags,www.amsproduct.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,55,6003636515,450,246676,"Action Bag & Cover, Inc.",Byung Ki Lee,13225,직물포대 제조업,80,1-7149657777,/18401 Mount Langley St/Fountain Valley/California/Orange/United States/92708-6904,19780630,Mfg textile bags,www.actionbaginc.com,N,Y,N,N,N,미국,D,미국,13225,630533,5262778.0,,,,
미국,13225,630533,60,6003565201,450,234085,"Augusta Sportswear, Inc.",David Elliot,13225,직물포대 제조업,586,1-7068604633,/425 Park 20 W/Grovetown/Georgia/Columbia/United States/30813-3214,19770630,Mfg textile bags,www.augustasportswear.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,52,6004214856,450,345528,"Hdt Expeditionary Systems, Inc.",Sean Bond,13225,직물포대 제조업,290,1-2164386111,/30500 Aurora Rd Ste 100/Solon/Ohio/Cuyahoga/United States/44139-2776,19810630,Mfg textile bags,www.hdtglobal.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,56,6003482818,450,219493,"Jansport, Inc.",Mackey McDonald,13225,직물포대 제조업,10,1-7207784000,/8505 E Orchard Rd/Greenwood Village/Colorado/Arapahoe/United States/80111-5002,19790630,Mfg textile bags,www.jansport.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,58,6003086721,450,158278,"Ju-Ju-Be Intl., LLC",Joseph Croft,13225,직물포대 제조업,23,1-8772585823,/35 Argonaut Ste B2/Aliso Viejo/California/Orange/United States/92656-4151,20070630,Mfg textile bags,www.jujube.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,59,6003405357,450,206709,"Mark Richards Enterprises, Inc.",Denise Wilk,13225,직물포대 제조업,9,1-6313420091,/80 Orville Dr Ste 103/Bohemia/New York/Suffolk/United States/11716-2505,20000630,Mfg textile bags,www.markrichardsusa.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
